ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
14.125.245.195,37215,no,11,0,11,0,0,2024-06-21 09:33:04.398212,2024-06-21 09:33:04.399372
157.187.110.67,37215,yes,2,0,2,0,0,2024-06-21 09:35:05.278488,2024-06-21 09:35:05.278536
102.44.45.229,37215,yes,1,0,1,0,0,2024-06-21 09:35:05.278599,2024-06-21 09:35:05.278599
