attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-24 17:43:56.748006,0:01:00.656232,,108.61.28.88,udp,,,no,5830,6016560,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 18:33:24.526533,0:00:40.887310,,108.61.129.40,udp,,,no,4004,4132128,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:53:45.620812,0:01:00.791256,,108.61.32.236,udp,,,no,5896,6084672,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 20:27:40.255902,0:01:01.171027,,108.61.129.28,udp,,,no,5401,5573832,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 15:46:44.488527,0:01:00.919200,,209.126.2.190,udp,,,no,6852,7071264,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 15:53:51.272686,0:01:01.147867,,45.137.246.114,udp,,,no,6984,7207488,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 16:08:26.560114,0:06:24.856725,,144.126.144.197,udp,,,no,13398,13826736,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 16:27:58.156111,0:01:01.256480,,24.98.58.190,dns,,,no,6936,7157952,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 16:38:19.015462,0:01:01.379483,,71.15.18.144,udp,,,no,6936,7157952,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 16:40:39.379152,0:06:38.067262,,172.222.14.100,udp,,,no,16176,16693632,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 16:48:37.551237,0:01:00.873963,,50.29.189.221,udp,,,no,6642,6854544,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 16:59:17.864802,0:10:43.564174,,108.61.130.0/24,udp,,,no,12078,12464496,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:10:44.351364,0:01:01.055289,,99.44.193.187,udp,,,no,5796,5981472,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:12:59.891815,0:01:00.518568,,72.128.21.28,udp,,,no,5682,5863824,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:14:37.134883,0:01:01.274195,,75.128.114.101,udp,,,no,5946,6136272,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:16:12.080002,0:01:01.326721,,50.88.160.228,udp,,,no,5940,6130080,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:17:43.984408,0:01:01.421935,,108.61.133.157,udp,,,no,5826,6012432,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:21:05.124627,0:01:01.284220,,204.112.31.156,udp,,,no,3168,3269376,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:32:07.741460,0:01:00.657792,,24.7.184.252,udp,,,no,5880,6068160,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:33:40.331013,0:01:01.081350,,50.159.65.138,udp,,,no,5982,6173424,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 18:12:41.252778,0:00:51.149140,,108.61.28.89,udp,,,no,4970,5129040,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:45:49.727563,0:01:00.696919,,20.157.80.25,udp,,,no,5874,6061968,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 20:43:31.667590,0:16:21.722012,,108.61.32.0/24,udp,,,no,8414,8683248,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 17:59:05.842652,0:00:40.578161,,169.150.230.27,udp,,,no,3990,4117680,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 18:23:44.804630,0:00:30.612878,,144.202.24.73,udp,,,no,2988,3083616,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 18:26:02.038845,0:01:00.552642,,20.47.116.4,udp,,,no,5946,6136272,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 18:30:07.824758,0:01:00.585837,,72.182.198.39,dns,,,no,5838,6024816,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 21:13:52.497276,0:01:00.904981,,108.61.129.47,udp,,,no,5301,5470632,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-24 18:35:13.147133,0:05:12.273114,,68.102.136.70,dns,,,no,11910,12291120,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
