ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
217.32.184.17,23,no,75,0,0,0,75,2024-06-18 15:51:49.477113,2024-06-18 16:01:39.450969
203.196.40.42,80,yes,1,0,1,0,0,2024-06-18 16:01:42.530229,2024-06-18 16:01:42.530229
64.13.123.73,80,yes,1,0,1,0,0,2024-06-18 16:01:42.538855,2024-06-18 16:01:42.538855
149.33.0.47,80,yes,1,0,1,0,0,2024-06-18 16:01:42.543149,2024-06-18 16:01:42.543149
14.217.50.198,80,yes,1,0,1,0,0,2024-06-18 16:01:42.547629,2024-06-18 16:01:42.547629
121.128.125.219,80,yes,1,0,1,0,0,2024-06-18 16:01:42.550539,2024-06-18 16:01:42.550539
