ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
188.166.250.35,38429,no,4,0,4,0,0,2024-06-17 12:23:58.842494,2024-06-17 12:24:06.562381
240.103.0.0,46852,no,8,0,8,0,0,2024-06-17 12:25:23.594361,2024-06-17 12:36:04.561106
183.4.0.0,38429,yes,8,0,8,0,0,2024-06-17 12:28:54.641453,2024-06-17 15:27:29.601161
92.237.0.0,61543,yes,4,0,4,0,0,2024-06-17 12:31:01.671972,2024-06-17 12:31:09.538992
108.3.0.0,15987,no,4,0,4,0,0,2024-06-17 12:33:08.544200,2024-06-17 12:33:15.760947
164.77.0.0,7193,yes,4,0,4,0,0,2024-06-17 12:39:32.507435,2024-06-17 12:39:39.700910
164.77.0.0,23789,no,16,0,16,0,0,2024-06-17 12:47:58.688141,2024-06-17 15:06:19.601038
150.29.0.0,49376,no,20,0,20,0,0,2024-06-17 12:55:00.817061,2024-06-17 14:19:44.720832
211.107.0.0,49376,no,24,0,24,0,0,2024-06-17 12:55:43.544008,2024-06-17 15:30:18.640823
62.115.0.0,49376,no,8,0,8,0,0,2024-06-17 12:57:07.686166,2024-06-17 15:36:39.538260
62.115.0.0,42061,yes,8,0,8,0,0,2024-06-17 13:11:13.589603,2024-06-17 14:16:13.536560
28.25.0.0,23789,yes,8,0,8,0,0,2024-06-17 13:12:37.692284,2024-06-17 15:39:28.563072
192.224.0.0,32876,no,4,0,4,0,0,2024-06-17 13:14:02.546960,2024-06-17 13:14:09.761271
192.224.0.0,7193,yes,8,0,8,0,0,2024-06-17 13:18:57.683543,2024-06-17 15:26:46.800989
183.4.0.0,54123,yes,8,0,8,0,0,2024-06-17 13:23:11.690788,2024-06-17 14:08:26.801135
128.108.0.0,61543,yes,4,0,4,0,0,2024-06-17 13:34:26.800204,2024-06-17 13:34:34.640815
211.107.0.0,46852,yes,4,0,4,0,0,2024-06-17 13:38:40.712077,2024-06-17 13:38:48.561142
62.115.0.0,32876,yes,12,0,12,0,0,2024-06-17 13:47:48.593111,2024-06-17 15:52:52.800925
211.107.0.0,61543,yes,4,0,4,0,0,2024-06-17 14:03:22.732487,2024-06-17 14:03:30.560916
128.108.0.0,38429,yes,4,0,4,0,0,2024-06-17 14:04:47.686159,2024-06-17 14:04:55.536543
62.115.0.0,46852,no,8,0,8,0,0,2024-06-17 14:05:29.766226,2024-06-17 14:27:30.560902
183.4.0.0,23789,yes,4,0,4,0,0,2024-06-17 14:12:33.788180,2024-06-17 14:12:41.600825
108.3.0.0,54123,no,8,0,8,0,0,2024-06-17 14:21:01.683805,2024-06-17 15:12:40.560851
240.103.0.0,15987,yes,8,0,8,0,0,2024-06-17 14:21:43.775885,2024-06-17 15:37:21.601289
150.29.0.0,32876,yes,4,0,4,0,0,2024-06-17 14:35:08.680912,2024-06-17 14:35:16.536329
150.29.0.0,54123,yes,4,0,4,0,0,2024-06-17 14:35:50.770496,2024-06-17 14:35:58.641212
240.103.0.0,32876,yes,4,0,4,0,0,2024-06-17 14:38:40.592012,2024-06-17 14:38:47.761331
128.108.0.0,49376,yes,4,0,4,0,0,2024-06-17 14:42:54.590327,2024-06-17 14:43:01.760900
164.77.0.0,42061,yes,4,0,4,0,0,2024-06-17 14:45:01.638961,2024-06-17 14:45:08.800823
108.3.0.0,7193,yes,4,0,4,0,0,2024-06-17 14:47:50.682193,2024-06-17 14:47:58.560943
192.224.0.0,23789,yes,4,0,4,0,0,2024-06-17 14:52:04.686301,2024-06-17 14:52:12.563552
211.107.0.0,27651,yes,4,0,4,0,0,2024-06-17 14:57:43.636096,2024-06-17 14:57:50.800849
150.29.0.0,38429,yes,4,0,4,0,0,2024-06-17 15:02:39.741807,2024-06-17 15:02:47.600929
192.224.0.0,46852,yes,4,0,4,0,0,2024-06-17 15:11:50.595889,2024-06-17 15:11:57.760801
192.224.0.0,54123,yes,4,0,4,0,0,2024-06-17 15:13:15.547037,2024-06-17 15:13:22.721006
128.108.0.0,42061,yes,4,0,4,0,0,2024-06-17 15:16:04.635404,2024-06-17 15:16:12.536805
92.237.0.0,46852,yes,4,0,4,0,0,2024-06-17 15:29:28.691144,2024-06-17 15:29:36.561113
240.103.0.0,49376,yes,4,0,4,0,0,2024-06-17 15:35:49.635505,2024-06-17 15:35:56.800910
240.103.0.0,7193,yes,4,0,4,0,0,2024-06-17 15:37:56.547855,2024-06-17 15:38:03.760916
192.224.0.0,49376,yes,4,0,4,0,0,2024-06-17 15:40:45.641662,2024-06-17 15:40:53.536382
62.115.0.0,15987,yes,4,0,4,0,0,2024-06-17 15:42:10.583736,2024-06-17 15:42:17.761016
28.25.0.0,32876,yes,4,0,4,0,0,2024-06-17 15:42:52.664601,2024-06-17 15:43:00.536659
62.115.0.0,7193,yes,4,0,4,0,0,2024-06-17 15:43:34.720485,2024-06-17 15:43:42.562608
92.237.0.0,49376,yes,4,0,4,0,0,2024-06-17 15:46:24.595230,2024-06-17 15:46:31.760811
92.237.0.0,27651,yes,4,0,4,0,0,2024-06-17 15:47:06.695734,2024-06-17 15:47:14.561337
211.107.0.0,38429,yes,4,0,4,0,0,2024-06-17 15:48:31.672555,2024-06-17 15:48:39.537437
211.107.0.0,54123,yes,4,0,4,0,0,2024-06-17 15:49:56.547363,2024-06-17 15:50:03.761358
108.3.0.0,49376,yes,3,0,3,0,0,2024-06-17 15:50:39.681377,2024-06-17 15:50:46.536377
150.29.0.0,27651,yes,4,0,4,0,0,2024-06-17 15:51:20.676860,2024-06-17 15:51:28.536440
108.3.0.0,38429,yes,4,0,4,0,0,2024-06-17 15:52:02.788683,2024-06-17 15:52:10.641589
