ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
197.92.44.11,37215,no,4,0,4,0,0,2024-06-24 10:02:18.488292,2024-06-24 10:02:18.489038
102.122.107.5,37215,yes,1,0,1,0,0,2024-06-24 10:04:15.596007,2024-06-24 10:04:15.596007
41.187.140.145,37215,yes,2,0,2,0,0,2024-06-24 10:04:15.596070,2024-06-24 10:04:15.596114
