attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-26 11:26:31.434602,0:11:19.847632,,67.213.208.0/24,udp,,,no,6059,57472,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 10:11:56.294756,0:01:22.030966,,79.127.239.72,tcp,,,no,5210,3542800,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 12:54:11.406399,0:01:20.865826,,212.102.40.182,tcp,,,no,2320,1577600,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 13:18:13.302117,0:01:00.012845,,212.102.40.182,tcp,,,no,2264,1539520,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 13:00:31.309710,0:01:20.045717,,79.127.239.72,tcp,,,no,2224,1512320,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 10:42:14.315619,0:00:59.982668,,45.77.227.250,udp,,,no,3192,30279,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 10:59:01.316888,0:00:59.987474,,149.28.64.153,udp,,,no,2508,2651070,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 11:16:57.315906,0:00:29.976419,,95.179.167.246,udp,,,no,1236,956492,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 12:05:44.316311,0:00:59.134187,,67.213.208.50,udp,,,no,2677,2075721,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 11:32:50.315562,0:01:00.005600,,95.179.181.131,udp,,,no,2496,2638218,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 12:25:04.295460,0:00:10.010011,,149.28.219.8,udp,,,no,468,4431,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 12:42:36.332497,0:00:59.996118,,45.63.74.211,udp,,,no,2784,2157181,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 13:45:36.305614,0:01:20.030974,,212.102.40.182,tcp,,,no,2262,1538160,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 13:04:30.389555,0:00:59.996919,,207.246.115.120,udp,,,no,2970,28174,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 13:07:25.294731,0:00:15.003301,,144.202.50.108,udp,,,no,690,533943,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 13:20:51.313880,0:00:19.983764,,74.91.122.30,udp,,,no,816,577728,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 13:24:46.317417,0:00:29.986604,,45.76.18.8,udp,,,no,1314,1019236,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 14:17:19.340368,0:00:59.977357,,108.61.133.109,udp,,,no,2478,1925869,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 14:22:47.307740,0:00:59.988536,,45.76.112.97,udp,,,no,3156,29938,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 14:45:10.306356,0:00:09.148878,,139.180.162.132,udp,,,no,528,5001,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 15:22:35.329414,0:00:09.996775,,149.28.216.24,udp,,,no,498,4720,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 15:41:35.819003,0:00:59.885646,,81.70.99.147,tcp,,,no,912,620160,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-26 16:00:41.431022,0:00:10.002785,,213.179.199.44,udp,,,no,600,312000,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
