cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at
216.146.27.222,True,5220,alive,2024-06-30 23:08:23.414889
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:23.675157
216.146.27.222,True,5220,alive,2024-06-30 23:08:23.711608
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:23.889891
216.146.27.222,True,5220,alive,2024-06-30 23:08:23.899008
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:24.162613
216.146.27.222,True,5220,alive,2024-06-30 23:08:24.176527
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:24.447509
216.146.27.222,True,5220,alive,2024-06-30 23:08:24.465126
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:24.705314
216.146.27.222,True,5220,alive,2024-06-30 23:08:24.715602
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:24.948403
216.146.27.222,True,5220,alive,2024-06-30 23:08:24.958367
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:25.183497
216.146.27.222,True,5220,alive,2024-06-30 23:08:25.199163
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:25.488203
216.146.27.222,True,5220,alive,2024-06-30 23:08:25.498167
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:25.721244
216.146.27.222,True,5220,alive,2024-06-30 23:08:25.731610
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:25.961145
216.146.27.222,True,5220,alive,2024-06-30 23:08:25.970489
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:26.196051
216.146.27.222,True,5220,alive,2024-06-30 23:08:26.205454
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:26.440667
216.146.27.222,True,5220,alive,2024-06-30 23:08:26.449153
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:26.671936
216.146.27.222,True,5220,alive,2024-06-30 23:08:26.681787
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:26.904897
216.146.27.222,True,5220,alive,2024-06-30 23:08:26.914044
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:27.141638
216.146.27.222,True,5220,alive,2024-06-30 23:08:27.151918
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:27.384046
216.146.27.222,True,5220,alive,2024-06-30 23:08:27.392739
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:27.611038
216.146.27.222,True,5220,alive,2024-06-30 23:08:27.621469
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:27.849458
216.146.27.222,True,5220,alive,2024-06-30 23:08:27.862319
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:28.101928
216.146.27.222,True,5220,alive,2024-06-30 23:08:28.118487
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:28.351243
216.146.27.222,True,5220,alive,2024-06-30 23:08:28.360196
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:28.590672
216.146.27.222,True,5220,alive,2024-06-30 23:08:28.600972
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:28.841120
216.146.27.222,True,5220,alive,2024-06-30 23:08:28.850942
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:29.083455
216.146.27.222,True,5220,alive,2024-06-30 23:08:29.094246
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:29.328708
216.146.27.222,True,5220,alive,2024-06-30 23:08:29.337918
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:29.678387
216.146.27.222,True,5220,alive,2024-06-30 23:08:29.698942
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:29.917162
216.146.27.222,True,5220,alive,2024-06-30 23:08:29.927229
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:30.150950
216.146.27.222,True,5220,alive,2024-06-30 23:08:30.161631
216.146.27.222,True,5220,disconnected,2024-06-30 23:08:30.390356
