attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-25 10:22:13.695809,0:01:00.777563,,108.61.130.173,udp,,,no,7359,7594488,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 14:11:19.777480,0:01:00.757680,,108.61.133.119,udp,,,no,6545,6754440,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 10:10:04.534163,0:01:00.929784,,45.63.93.130,udp,,,no,7344,7579008,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 14:03:38.217773,0:01:00.278460,,108.61.130.149,udp,,,no,6567,6777144,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 13:12:30.328133,0:01:02.163756,,212.78.83.190,udp,,,no,3870,3993840,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 14:42:43.337734,0:00:21.140161,,108.61.133.87,udp,,,no,2251,2323032,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 14:18:16.872558,0:00:50.618603,,108.61.32.226,udp,,,no,5520,5696640,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 14:26:46.824459,0:00:40.652924,,34.215.109.158,udp,,,no,4428,4569696,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 14:34:58.449203,0:00:31.041823,,108.61.36.41,udp,,,no,3366,3473712,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 14:51:24.039516,0:00:30.450311,,96.30.200.101,udp,,,no,3342,3448944,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 15:14:42.498859,0:00:35.980511,,66.42.90.171,udp,,,no,3882,4006224,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 16:57:50.621905,0:01:00.865778,,154.16.66.31,udp,,,no,6564,6774048,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 18:02:53.640542,0:01:00.840629,,99.159.110.237,dns,,,no,5532,5709024,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 18:05:38.962632,0:01:00.518126,,172.56.69.110,dns,,,no,6102,6297264,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 18:24:17.495634,0:01:00.990946,,172.56.161.174,dns,,,no,6102,6297264,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-25 18:36:18.660451,0:01:00.810569,,66.22.230.155,udp,,,no,6060,6253920,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
