ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
156.251.245.70,37215,no,2,0,2,0,0,2024-06-26 17:42:41.561300,2024-06-26 17:42:45.439403
197.12.185.230,37215,yes,1,0,1,0,0,2024-06-26 17:43:58.357865,2024-06-26 17:43:58.357865
102.239.215.86,37215,yes,1,0,1,0,0,2024-06-26 17:43:58.357923,2024-06-26 17:43:58.357923
102.36.212.60,37215,yes,1,0,1,0,0,2024-06-26 17:43:58.357964,2024-06-26 17:43:58.357964
156.252.137.151,37215,yes,1,0,1,0,0,2024-06-26 17:43:58.358004,2024-06-26 17:43:58.358004
