ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
108.3.0.0,54123,no,4,0,4,0,0,2024-06-19 10:14:04.815880,2024-06-19 10:14:12.641264
211.107.0.0,15987,yes,8,0,8,0,0,2024-06-19 10:23:14.608867,2024-06-19 11:13:19.604199
62.115.0.0,49376,no,8,0,8,0,0,2024-06-19 10:27:27.650063,2024-06-19 12:02:48.600801
183.4.0.0,61543,yes,4,0,4,0,0,2024-06-19 10:28:09.700267,2024-06-19 10:28:17.600742
183.4.0.0,49376,yes,4,0,4,0,0,2024-06-19 10:28:51.746565,2024-06-19 10:28:59.682429
28.25.0.0,49376,yes,8,0,8,0,0,2024-06-19 10:34:29.651017,2024-06-19 11:53:25.681703
150.29.0.0,49376,no,8,0,8,0,0,2024-06-19 10:37:17.870308,2024-06-19 11:08:23.840987
62.115.0.0,54123,yes,4,0,4,0,0,2024-06-19 10:40:06.830519,2024-06-19 10:40:14.641129
108.3.0.0,32876,yes,4,0,4,0,0,2024-06-19 10:40:49.649562,2024-06-19 10:40:57.601073
128.108.0.0,54123,yes,8,0,8,0,0,2024-06-19 10:46:26.784816,2024-06-19 11:22:27.681227
92.237.0.0,46852,yes,4,0,4,0,0,2024-06-19 10:49:57.780030,2024-06-19 10:50:05.600766
128.108.0.0,32876,yes,4,0,4,0,0,2024-06-19 10:50:39.785516,2024-06-19 10:50:47.600812
192.224.0.0,27651,yes,4,0,4,0,0,2024-06-19 10:53:28.777218,2024-06-19 10:53:36.641800
164.77.0.0,49376,no,8,0,8,0,0,2024-06-19 10:54:53.608794,2024-06-19 10:59:13.840991
28.25.0.0,46852,yes,4,0,4,0,0,2024-06-19 10:59:48.744333,2024-06-19 10:59:56.600765
128.108.0.0,38429,yes,4,0,4,0,0,2024-06-19 11:01:14.609462,2024-06-19 11:01:21.841269
192.224.0.0,32876,no,8,0,8,0,0,2024-06-19 11:04:02.808613,2024-06-19 12:09:52.600852
211.107.0.0,61543,yes,4,0,4,0,0,2024-06-19 11:08:58.652533,2024-06-19 11:09:05.841358
92.237.0.0,61543,yes,8,0,8,0,0,2024-06-19 11:11:47.655158,2024-06-19 11:35:07.600742
108.3.0.0,15987,no,10,0,8,0,2,2024-06-19 11:20:55.740288,2024-06-19 11:40:27.657250
240.103.0.0,46852,no,4,0,4,0,0,2024-06-19 11:31:28.743362,2024-06-19 11:31:36.600854
92.237.0.0,49376,yes,4,0,4,0,0,2024-06-19 11:32:10.801674,2024-06-19 11:32:18.641164
192.224.0.0,42061,yes,4,0,4,0,0,2024-06-19 11:33:35.607790,2024-06-19 11:33:42.801340
92.237.0.0,54123,yes,4,0,4,0,0,2024-06-19 11:34:17.649555,2024-06-19 11:34:24.880974
240.103.0.0,27651,yes,4,0,4,0,0,2024-06-19 11:39:54.694431,2024-06-19 11:40:02.600768
211.107.0.0,38429,yes,8,0,8,0,0,2024-06-19 11:43:25.650354,2024-06-19 11:45:39.681200
211.107.0.0,49376,no,8,0,8,0,0,2024-06-19 11:46:14.611561,2024-06-19 12:11:17.683822
183.4.0.0,38429,yes,4,0,4,0,0,2024-06-19 11:51:52.746323,2024-06-19 11:52:00.600832
164.77.0.0,42061,yes,4,0,4,0,0,2024-06-19 11:54:42.697393,2024-06-19 11:54:50.600892
164.77.0.0,32876,yes,4,0,4,0,0,2024-06-19 11:56:49.701784,2024-06-19 11:56:57.600849
92.237.0.0,32876,yes,4,0,4,0,0,2024-06-19 11:57:31.786563,2024-06-19 11:57:39.601823
92.237.0.0,23789,yes,4,0,4,0,0,2024-06-19 11:58:14.608382,2024-06-19 11:58:21.841831
92.237.0.0,38429,yes,3,0,3,0,0,2024-06-19 12:14:00.641088,2024-06-19 12:14:06.800976
128.108.0.0,42061,yes,4,0,4,0,0,2024-06-19 12:14:41.693027,2024-06-19 12:14:49.600854
