attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
Scanning,2024-06-19 10:13:21.794606,2:00:37.815287,192.168.122.78,,tcp,,"23789,54123,7193,49376,27651,15987,32876,38429,61543,46852,42061",no,132,0,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,108.3.0.0,15987
DP Attack,2024-06-19 10:12:55.712117,2:01:34.996730,,161.97.219.84,dns,,,no,864,38139,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,108.3.0.0,15987
DP Attack,2024-06-19 10:12:49.717913,1:52:48.894645,,192.168.122.1,dns,,,no,54,2592,e296143245fd02f317dd8224c17c3f51278b26f1e4803d9075a83cd2153d36eb,108.3.0.0,15987
