ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
164.77.0.0,23789,no,9,0,8,0,1,2024-06-20 10:39:07.219975,2024-06-20 11:35:15.955615
62.115.0.0,27651,yes,8,0,8,0,0,2024-06-20 10:41:56.061773,2024-06-20 10:57:32.849346
62.115.0.0,15987,yes,8,0,8,0,0,2024-06-20 10:42:38.039825,2024-06-20 11:11:36.942644
192.224.0.0,32876,no,4,0,4,0,0,2024-06-20 10:44:02.902141,2024-06-20 10:44:10.130128
150.29.0.0,46852,yes,8,0,8,0,0,2024-06-20 10:45:27.013597,2024-06-20 11:38:22.054314
164.77.0.0,49376,no,15,0,12,0,3,2024-06-20 10:46:09.104897,2024-06-20 11:21:11.045322
240.103.0.0,15987,yes,4,0,4,0,0,2024-06-20 10:48:58.039647,2024-06-20 10:49:05.849736
211.107.0.0,23789,yes,4,0,4,0,0,2024-06-20 10:50:22.859079,2024-06-20 10:50:30.048375
62.115.0.0,32876,yes,4,0,4,0,0,2024-06-20 10:53:11.902506,2024-06-20 10:53:19.088284
108.3.0.0,54123,no,4,0,4,0,0,2024-06-20 10:55:18.095400,2024-06-20 10:55:25.968630
28.25.0.0,32876,yes,4,0,4,0,0,2024-06-20 11:00:56.064696,2024-06-20 11:01:03.850257
164.77.0.0,61543,yes,4,0,4,0,0,2024-06-20 11:01:38.023064,2024-06-20 11:01:45.888302
211.107.0.0,54123,yes,4,0,4,0,0,2024-06-20 11:07:16.015302,2024-06-20 11:07:23.888442
108.3.0.0,15987,no,12,0,12,0,0,2024-06-20 11:07:58.063531,2024-06-20 11:34:50.931851
150.29.0.0,61543,yes,9,0,9,0,0,2024-06-20 11:15:00.954093,2024-06-20 11:44:42.027891
92.237.0.0,7193,yes,4,0,4,0,0,2024-06-20 11:17:07.173320,2024-06-20 11:17:15.008236
108.3.0.0,38429,yes,4,0,4,0,0,2024-06-20 11:22:03.032730,2024-06-20 11:22:10.849889
128.108.0.0,42061,yes,4,0,4,0,0,2024-06-20 11:27:40.994611,2024-06-20 11:27:48.850054
183.4.0.0,27651,yes,4,0,4,0,0,2024-06-20 11:28:23.077668,2024-06-20 11:28:30.928624
28.25.0.0,27651,yes,8,0,8,0,0,2024-06-20 11:35:25.121723,2024-06-20 11:49:00.609293
192.224.0.0,15987,yes,4,0,4,0,0,2024-06-20 11:36:07.942788,2024-06-20 11:36:15.168427
150.29.0.0,49376,no,4,0,4,0,0,2024-06-20 11:38:56.981126,2024-06-20 11:39:04.861203
92.237.0.0,27651,yes,7,0,7,0,0,2024-06-20 11:46:01.278033,2024-06-20 11:47:56.398735
92.237.0.0,15987,yes,4,0,4,0,0,2024-06-20 11:47:03.211913,2024-06-20 11:47:10.944367
240.103.0.0,61543,yes,5,0,5,0,0,2024-06-20 11:50:38.539493,2024-06-20 11:50:58.263056
28.25.0.0,38429,yes,4,0,4,0,0,2024-06-20 11:51:26.900302,2024-06-20 11:51:34.128957
