ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
108.3.0.0,7193,yes,4,0,4,0,0,2024-06-17 14:47:50.682193,2024-06-17 14:47:58.560943,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 02:24:34.682193,0 days 00:00:07.878750
192.224.0.0,23789,yes,4,0,4,0,0,2024-06-17 14:52:04.686301,2024-06-17 14:52:12.563552,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 02:28:48.686301,0 days 00:00:07.877251
211.107.0.0,27651,yes,4,0,4,0,0,2024-06-17 14:57:43.636096,2024-06-17 14:57:50.800849,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 02:34:27.636096,0 days 00:00:07.164753
150.29.0.0,38429,yes,4,0,4,0,0,2024-06-17 15:02:39.741807,2024-06-17 15:02:47.600929,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 02:39:23.741807,0 days 00:00:07.859122
192.224.0.0,46852,yes,4,0,4,0,0,2024-06-17 15:11:50.595889,2024-06-17 15:11:57.760801,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 02:48:34.595889,0 days 00:00:07.164912
192.224.0.0,54123,yes,4,0,4,0,0,2024-06-17 15:13:15.547037,2024-06-17 15:13:22.721006,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 02:49:59.547037,0 days 00:00:07.173969
128.108.0.0,42061,yes,4,0,4,0,0,2024-06-17 15:16:04.635404,2024-06-17 15:16:12.536805,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 02:52:48.635404,0 days 00:00:07.901401
92.237.0.0,46852,yes,4,0,4,0,0,2024-06-17 15:29:28.691144,2024-06-17 15:29:36.561113,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:06:12.691144,0 days 00:00:07.869969
240.103.0.0,49376,yes,4,0,4,0,0,2024-06-17 15:35:49.635505,2024-06-17 15:35:56.800910,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:12:33.635505,0 days 00:00:07.165405
240.103.0.0,7193,yes,4,0,4,0,0,2024-06-17 15:37:56.547855,2024-06-17 15:38:03.760916,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:14:40.547855,0 days 00:00:07.213061
192.224.0.0,49376,yes,4,0,4,0,0,2024-06-17 15:40:45.641662,2024-06-17 15:40:53.536382,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:17:29.641662,0 days 00:00:07.894720
62.115.0.0,15987,yes,4,0,4,0,0,2024-06-17 15:42:10.583736,2024-06-17 15:42:17.761016,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:18:54.583736,0 days 00:00:07.177280
28.25.0.0,32876,yes,4,0,4,0,0,2024-06-17 15:42:52.664601,2024-06-17 15:43:00.536659,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:19:36.664601,0 days 00:00:07.872058
62.115.0.0,7193,yes,4,0,4,0,0,2024-06-17 15:43:34.720485,2024-06-17 15:43:42.562608,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:20:18.720485,0 days 00:00:07.842123
92.237.0.0,49376,yes,4,0,4,0,0,2024-06-17 15:46:24.595230,2024-06-17 15:46:31.760811,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:23:08.595230,0 days 00:00:07.165581
92.237.0.0,27651,yes,4,0,4,0,0,2024-06-17 15:47:06.695734,2024-06-17 15:47:14.561337,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:23:50.695734,0 days 00:00:07.865603
211.107.0.0,38429,yes,4,0,4,0,0,2024-06-17 15:48:31.672555,2024-06-17 15:48:39.537437,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:25:15.672555,0 days 00:00:07.864882
211.107.0.0,54123,yes,4,0,4,0,0,2024-06-17 15:49:56.547363,2024-06-17 15:50:03.761358,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:26:40.547363,0 days 00:00:07.213995
108.3.0.0,49376,yes,3,0,3,0,0,2024-06-17 15:50:39.681377,2024-06-17 15:50:46.536377,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:27:23.681377,0 days 00:00:06.855000
150.29.0.0,27651,yes,4,0,4,0,0,2024-06-17 15:51:20.676860,2024-06-17 15:51:28.536440,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:28:04.676860,0 days 00:00:07.859580
108.3.0.0,38429,yes,4,0,4,0,0,2024-06-17 15:52:02.788683,2024-06-17 15:52:10.641589,2024-06-17 12:23:16,2024-06-17 15:53:27,0 days 03:28:46.788683,0 days 00:00:07.852906
62.115.0.0,46852,no,14,0,12,0,2,2024-06-18 09:55:35.532167,2024-06-18 12:07:56.004850,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 00:00:43.532167,0 days 02:12:20.472683
