attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-20 11:03:16.353938,0:02:40.619753,,154.85.72.30,udp,,,no,13574,14008368,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:42:15.996354,0:01:03.246984,,135.148.136.226,udp,,,no,1023,1055736,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:59:41.358302,0:00:30.579567,,184.174.35.100,udp,,,no,4763,4915416,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:12:40.536555,0:09:14.409087,,89.71.92.52,dns,,,no,12265,12657480,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 10:43:46.936567,0:01:01.009327,,94.154.62.46,udp,,,no,7038,7263216,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 10:45:28.619086,0:01:01.361573,,78.88.46.180,dns,,,no,6540,6749280,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 10:46:14.058338,0:01:20.966271,,24.105.43.238,udp,,,no,7290,58320,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 10:46:40.953503,0:01:01.016625,,5.173.81.63,udp,,,no,4728,4879296,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 10:48:21.471615,0:01:00.470393,,195.205.228.92,dns,,,no,6732,6947424,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 10:50:33.168162,0:01:02.010844,,5.70.224.127,dns,,,no,4836,4990752,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 10:58:18.101332,0:01:00.830376,,83.168.105.216,udp,,,no,6918,7139376,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:00:18.568580,0:01:00.630620,,80.79.6.46,udp,,,no,5892,6080544,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:01:37.076892,0:01:01.862371,,178.215.198.6,dns,,,no,5400,5572800,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:27:35.051913,0:07:31.899224,,154.85.72.46,udp,,,no,12052,12437664,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:08:02.204468,0:01:00.730325,,77.210.40.27,dns,,,no,6630,6842160,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:11:03.031436,0:01:00.926585,,178.42.148.253,dns,,,no,7092,7318944,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 12:29:56.809680,0:01:01.117422,,89.71.92.52,dns,,,no,9503,9807096,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:15:20.416721,0:01:00.549285,,185.35.199.149,dns,,,no,6918,7139376,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:17:23.414027,0:01:00.530776,,46.45.107.35,udp,,,no,6324,6526368,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:23:15.044698,0:01:01.880108,,89.64.56.32,udp,,,no,5574,5752368,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:26:33.133948,0:01:00.783985,,94.154.27.16,dns,,,no,6156,6352992,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:31:16.613070,0:01:01.338293,,178.37.240.1,udp,,,no,6234,6433488,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:36:09.091843,0:01:01.828238,,109.206.201.193,udp,,,no,5442,5616144,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:37:25.669147,0:01:01.317106,,93.200.246.242,udp,,,no,5940,6130080,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
DP Attack,2024-06-20 11:39:38.315924,0:01:00.934837,,152.89.244.134,dns,,,no,4362,4501584,a9ce0201536afb380206d2ef843eaa025490a268179a115451b344adc594bae2,45.95.169.138,322
