ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
192.224.0.0,32876,no,14,0,12,0,2,2024-06-18 15:47:01.557402,2024-06-18 17:53:23.506384
128.108.0.0,15987,yes,8,0,8,0,0,2024-06-18 15:52:40.503318,2024-06-18 15:56:19.474084
108.3.0.0,46852,yes,4,0,4,0,0,2024-06-18 15:56:54.501971,2024-06-18 15:57:01.714047
164.77.0.0,32876,yes,4,0,4,0,0,2024-06-18 15:58:18.652086,2024-06-18 15:58:26.514463
192.224.0.0,61543,yes,8,0,8,0,0,2024-06-18 16:02:32.611454,2024-06-18 17:12:13.634073
108.3.0.0,15987,no,12,0,12,0,0,2024-06-18 16:08:43.581500,2024-06-18 16:27:12.443439
150.29.0.0,49376,no,8,0,8,0,0,2024-06-18 16:15:46.659630,2024-06-18 16:16:36.674333
164.77.0.0,49376,no,12,0,12,0,0,2024-06-18 16:18:36.450447,2024-06-18 17:06:00.443337
150.29.0.0,61543,yes,4,0,4,0,0,2024-06-18 16:19:18.583357,2024-06-18 16:19:26.443539
108.3.0.0,54123,no,4,0,4,0,0,2024-06-18 16:21:25.649554,2024-06-18 16:21:33.475514
211.107.0.0,54123,yes,4,0,4,0,0,2024-06-18 16:23:32.659465,2024-06-18 16:23:40.514261
108.3.0.0,38429,yes,8,0,8,0,0,2024-06-18 16:26:22.453169,2024-06-18 18:04:18.514347
150.29.0.0,23789,yes,4,0,4,0,0,2024-06-18 16:27:46.691760,2024-06-18 16:27:54.513989
150.29.0.0,46852,yes,8,0,8,0,0,2024-06-18 16:28:29.503705,2024-06-18 17:31:09.474124
128.108.0.0,7193,yes,4,0,4,0,0,2024-06-18 16:33:25.633042,2024-06-18 16:33:33.473976
108.3.0.0,49376,yes,8,0,8,0,0,2024-06-18 16:34:07.688718,2024-06-18 18:06:25.634806
183.4.0.0,46852,yes,4,0,4,0,0,2024-06-18 16:44:43.507222,2024-06-18 16:44:50.674161
183.4.0.0,27651,yes,12,0,12,0,0,2024-06-18 16:47:32.666643,2024-06-18 17:48:01.443215
240.103.0.0,49376,yes,8,0,8,0,0,2024-06-18 16:53:53.570740,2024-06-18 17:09:24.674451
128.108.0.0,23789,yes,4,0,4,0,0,2024-06-18 16:55:18.459468,2024-06-18 16:55:25.634224
62.115.0.0,49376,no,12,0,12,0,0,2024-06-18 17:09:59.510567,2024-06-18 17:35:24.443921
164.77.0.0,23789,no,8,0,8,0,0,2024-06-18 17:14:13.688826,2024-06-18 17:36:06.674200
62.115.0.0,15987,yes,4,0,4,0,0,2024-06-18 17:16:21.525848,2024-06-18 17:16:29.443742
28.25.0.0,27651,yes,8,0,8,0,0,2024-06-18 17:23:26.582456,2024-06-18 17:29:02.514718
28.25.0.0,42061,yes,4,0,4,0,0,2024-06-18 17:28:12.458622,2024-06-18 17:28:19.634040
128.108.0.0,38429,yes,4,0,4,0,0,2024-06-18 17:47:10.551171,2024-06-18 17:47:17.714097
183.4.0.0,23789,yes,4,0,4,0,0,2024-06-18 17:53:33.556750,2024-06-18 17:53:41.443556
183.4.0.0,32876,yes,4,0,4,0,0,2024-06-18 17:54:15.686684,2024-06-18 17:54:23.554914
211.107.0.0,49376,no,4,0,4,0,0,2024-06-18 17:57:48.578289,2024-06-18 17:57:56.443585
92.237.0.0,32876,yes,4,0,4,0,0,2024-06-18 17:59:13.510943,2024-06-18 17:59:20.674183
240.103.0.0,32876,yes,4,0,4,0,0,2024-06-18 18:00:38.455593,2024-06-18 18:00:45.634273
211.107.0.0,61543,yes,4,0,4,0,0,2024-06-18 18:08:25.562538,2024-06-18 18:08:33.443326
211.107.0.0,32876,yes,4,0,4,0,0,2024-06-18 18:09:07.697291,2024-06-18 18:09:15.554537
164.77.0.0,42061,yes,3,0,3,0,0,2024-06-18 18:10:33.714061,2024-06-18 18:10:40.514487
92.237.0.0,23789,yes,4,0,4,0,0,2024-06-18 18:11:15.506601,2024-06-18 18:11:22.674393
164.77.0.0,38429,yes,4,0,4,0,0,2024-06-18 18:11:57.618153,2024-06-18 18:12:05.474181
192.224.0.0,27651,yes,4,0,4,0,0,2024-06-18 18:12:40.511390,2024-06-18 18:12:48.443403
28.25.0.0,46852,yes,4,0,4,0,0,2024-06-18 18:13:22.627507,2024-06-18 18:13:30.445575
