ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
156.85.72.161,37215,no,11,0,11,0,0,2024-06-19 13:02:51.930313,2024-06-19 13:02:51.931698
197.17.228.43,37215,yes,8,0,8,0,0,2024-06-19 13:04:54.571676,2024-06-19 13:04:54.572323
156.39.166.146,37215,yes,4,0,4,0,0,2024-06-19 13:04:54.572442,2024-06-19 13:04:54.572716
41.33.10.85,37215,yes,4,0,4,0,0,2024-06-19 13:04:54.572852,2024-06-19 13:04:54.573143
