attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-19 10:19:12.650736,1:40:26.050834,,130.61.69.123,dns,,,no,42,1810,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-19 10:16:40.813995,1:51:35.841830,,63.231.92.27,dns,,,no,42,1817,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-19 10:13:50.752254,1:54:17.915563,,162.243.19.47,dns,,,no,42,1824,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-19 10:18:32.656883,1:50:56.005077,,54.36.111.116,dns,,,no,42,1838,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-19 10:18:48.660760,1:52:16.018196,,192.3.165.37,dns,,,no,36,1549,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-19 10:14:54.715427,1:35:55.936442,,161.97.219.84,dns,,,no,42,1867,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-19 10:22:16.655520,1:50:40.005477,,116.203.104.203,dns,,,no,90,3994,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-19 10:21:04.652780,1:44:30.000901,,185.84.81.194,dns,,,no,42,1842,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-19 10:15:58.654756,1:55:38.000238,,130.61.64.122,dns,,,no,48,2131,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
