attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end,Unnamed: 0
DP Attack,2024-06-17 15:37:49.561809,9.985462,,135.148.25.152,udp,,,no,450,4500,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
DP Attack,2024-06-17 14:17:19.569983,9.978367,,217.69.5.222,udp,,,no,570,5397,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
DP Attack,2024-06-17 14:38:35.544128,9.998578,,194.45.197.54,udp,,,no,744,8184,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
DP Attack,2024-06-17 14:44:38.691467,187.845604,,108.61.133.182,udp,,,no,5100,3959507,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
DP Attack,2024-06-17 15:06:52.528702,19.998322,,218.100.53.101,udp,,,no,996,82421,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
DP Attack,2024-06-17 15:37:42.526379,20.000701,,133.242.202.21,udp,,,no,942,8940,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
DP Attack,2024-06-17 15:38:41.528044,20.002785,,153.121.54.23,udp,,,no,1248,11859,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
DP Attack,2024-06-17 15:47:40.510454,19.240926,,52.198.153.39,udp,,,no,1230,11686,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
DP Attack,2024-06-17 15:51:42.689218,19.984709,,163.43.179.80,udp,,,no,1074,24873,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-17 12:52:26,2024-06-17 15:53:43,
DP Attack,2024-06-18 10:08:59.490550,59.198407,,217.69.3.202,udp,,,no,3612,2801084,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 10:23:29.491519,9.197788,,103.62.49.66,udp,,,no,900,8545,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 10:47:19.495638,59.994165,,217.69.0.40,udp,,,no,2874,2227479,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 11:04:48.499431,59.19585,,216.238.102.194,udp,,,no,3576,33930,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 11:06:04.487561,9.992537,,149.28.93.84,udp,,,no,660,6260,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 11:06:33.496345,59.987072,,140.82.33.81,udp,,,no,3186,2469647,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 11:08:52.477149,59.98998,,138.199.44.226,udp,,,no,2928,2269017,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 11:11:52.505472,9.990646,,149.28.92.116,"udp,unknown",,,no,900,1461134,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 11:15:55.488142,142.20432,,71.91.122.30,udp,,,no,1632,901169,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 11:46:50.089942,57.362738,,82.97.206.90,udp,,,no,1326,689520,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 12:13:37.490016,60.013933,,45.63.58.130,udp,,,no,2784,2941212,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 12:14:29.489716,15.000315,,85.133.166.243,udp,,,no,696,733816,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 12:20:10.579452,25.000612,,195.181.175.131,dns,,,no,1200,1264709,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 12:23:38.495402,24.988152,,152.89.244.134,dns,,,no,1248,1315453,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 12:26:19.505566,59.98734,,68.169.42.102,udp,,,no,2808,2175769,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 12:39:41.690842,9.995186,,199.247.11.115,udp,,,no,486,252720,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 12:46:31.468927,59.989031,,108.61.129.41,udp,,,no,2292,1782989,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 12:46:49.536664,59.976095,,162.245.205.35,udp,,,no,2082,2195022,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 09:54:46,2024-06-18 12:53:21,
DP Attack,2024-06-18 15:59:19.424710,4.992693,,74.91.114.225,udp,,,no,276,291097,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 16:15:09.418217,59.986981,,173.237.38.172,udp,,,no,4380,41583,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 16:17:09.440881,19.988756,,192.99.68.148,udp,,,no,984,1038603,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 16:29:21.416975,10.003791,,82.153.64.28,udp,,,no,708,9204,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 16:30:07.442971,59.998346,,207.246.113.228,udp,,,no,2826,2189726,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 16:31:47.444175,59.986693,,45.63.72.246,udp,,,no,3210,2489791,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 16:37:19.443218,192.179322,,162.211.121.79,udp,,,no,5724,2831435,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 16:49:14.458738,59.985987,,149.28.216.52,udp,,,no,2682,2836452,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 17:12:37.448330,10.007058,,107.162.251.254,udp,,,no,492,521984,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 17:13:44.469124,9.989367,,5.56.17.18,udp,,,no,444,471361,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 17:56:19.500500,19.150878,,206.212.246.14,udp,,,no,1008,9571,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-18 18:08:58.450632,114.192616,,45.113.201.144,udp,,,no,3186,77382,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-18 15:45:31,2024-06-18 18:14:00,
DP Attack,2024-06-19 10:38:29.728191,4.990909,,15.184.39.227,udp,,,no,468,4431,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-19 10:12:33,2024-06-19 12:15:05,
DP Attack,2024-06-19 10:49:35.736003,59.976316,,217.69.5.148,udp,,,no,3630,2814997,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-19 10:12:33,2024-06-19 12:15:05,
DP Attack,2024-06-19 10:51:23.732991,19.992244,,85.190.136.197,udp,,,no,1068,1125563,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-19 10:12:33,2024-06-19 12:15:05,
DP Attack,2024-06-19 11:12:13.735097,9.97385,,149.28.94.38,udp,,,no,702,6660,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-19 10:12:33,2024-06-19 12:15:05,
DP Attack,2024-06-19 11:29:36.709924,59.992939,,79.173.240.2,udp,,,no,2682,2079580,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-19 10:12:33,2024-06-19 12:15:05,
DP Attack,2024-06-19 11:43:20.747792,19.98567,,91.215.40.10,udp,,,no,906,700457,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-19 10:12:33,2024-06-19 12:15:05,
DP Attack,2024-06-19 11:55:51.742477,59.997487,,95.179.234.122,udp,,,no,3156,2444825,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-19 10:12:33,2024-06-19 12:15:05,
DP Attack,2024-06-19 11:59:40.774954,60.020866,,149.28.166.234,udp,,,no,1764,16771,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-19 10:12:33,2024-06-19 12:15:05,
DP Attack,2024-06-19 12:13:06.730043,60.001837,,107.191.47.243,udp,,,no,2472,1921271,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335.0,2024-06-19 10:12:33,2024-06-19 12:15:05,
DP Attack,2024-06-20 11:10:48.049562,20.032202,,82.98.127.3,tcp,,,no,942,463464,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335.0,2024-06-20 10:38:14,2024-06-20 14:08:10,
DP Attack,2024-06-20 11:22:35.937121,59.94356,,79.127.242.71,udp,,,no,2796,2165976,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335.0,2024-06-20 10:38:14,2024-06-20 14:08:10,
DP Attack,2024-06-20 11:28:46.908259,59.994652,,45.77.58.111,udp,,,no,3126,2422001,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335.0,2024-06-20 10:38:14,2024-06-20 14:08:10,
DP Attack,2024-06-20 11:58:03.890663,233.002317,,149.28.216.18,"udp,tcp",,,no,1362,404793,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335.0,2024-06-20 10:38:14,2024-06-20 14:08:10,
DP Attack,2024-06-20 12:18:08.907940,570.014224,,216.52.30.61,"udp,ntp,tcp",,,no,5790,5254520,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335.0,2024-06-20 10:38:14,2024-06-20 14:08:10,
DP Attack,2024-06-20 13:04:25.911993,568.179165,,45.7.37.1,"udp,tcp",,,no,7794,3792934,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335.0,2024-06-20 10:38:14,2024-06-20 14:08:10,
