ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,duration
45.90.13.207,59666,no,112,5,106,0,0,2024-06-29 14:57:23.323766,0:04:50.012389
45.90.13.207,7777,no,194,908,56,0,0,2024-06-29 14:57:23.580959,0:05:24.105783
