ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
89.190.156.145,7733,yes,33,0,33,0,0,2024-06-18 15:32:42.538874,2024-06-18 15:41:51.106908
45.131.111.98,1312,no,1481,680,237,0,0,2024-06-18 15:32:42.567069,2024-06-18 15:41:58.512723
