attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-28 16:20:22.318183,0:01:00.008836,,212.102.40.182,tcp,,,no,3228,2195040,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-28 16:32:46.307958,0:01:00.007813,,115.223.43.237,tcp,,,no,3223,2191640,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-28 16:58:36.399091,0:01:20.047062,,212.102.40.182,tcp,,,no,2412,1640160,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-28 16:29:55.310150,0:01:00.011527,,125.124.185.93,tcp,,,no,3125,2125000,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-28 17:48:03.316733,0:01:00.014631,,212.102.40.182,tcp,,,no,2530,1720400,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-28 17:40:43.315265,0:01:20.024394,,154.82.92.45,tcp,,,no,2366,1608880,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-28 18:05:26.301625,0:01:20.041916,,154.82.92.45,tcp,,,no,2285,1553800,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-28 18:50:33.326517,0:01:20.003024,,154.82.92.45,tcp,,,no,2213,1504840,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-28 18:00:56.296632,0:01:00.013373,,79.127.239.72,tcp,,,no,2704,1838720,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-28 18:04:26.323389,0:01:00.006657,,212.102.40.182,udp,,,no,2579,1825932,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
