ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
172.67.186.35,43957,no,4125,0,3310,0,815,2024-06-23 09:17:21.410916,2024-06-23 16:58:57.381375
104.21.19.118,43957,no,3596,0,3596,0,0,2024-06-23 09:18:10.382264,2024-06-23 16:57:54.267827
