attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-24 15:56:49.359939,0:00:20.001627,,74.91.122.30,udp,,,no,990,700920,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 17:02:16.355637,0:13:01.006661,,212.102.40.182,tcp,,,no,5160,3508800,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 15:37:39.394273,0:00:58.112256,,104.156.235.244,udp,,,no,3192,3368523,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 16:39:27.361989,0:00:19.982430,,74.91.122.30,udp,,,no,948,671184,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 16:01:44.357280,0:00:14.983743,,51.195.54.78,udp,,,no,816,863562,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 16:16:37.360381,0:00:20.003219,,43.153.118.78,udp,,,no,918,969044,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 16:17:56.367953,0:00:09.998835,,45.63.24.200,udp,,,no,492,4663,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 16:33:17.365515,0:00:20.003444,,108.61.133.184,udp,,,no,1104,10485,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 16:48:38.368693,0:00:19.973833,,103.62.49.66,udp,,,no,1068,72624,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 16:49:17.387583,0:00:59.986767,,67.213.208.11,udp,,,no,2448,2586916,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 17:32:57.358796,0:00:59.994121,,212.102.40.182,tcp,,,no,2472,1680960,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 17:21:11.365801,0:00:09.994196,,212.19.225.70,udp,,,no,498,4720,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 17:26:26.359762,0:00:20.003653,,216.118.233.162,tcp,,,no,756,514080,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 17:50:10.367840,0:00:09.152319,,108.61.36.30,udp,,,no,570,5397,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 17:58:11.391958,0:00:09.988638,,45.32.240.243,udp,,,no,582,5515,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 18:23:56.367113,0:00:09.994592,,212.19.224.109,udp,,,no,468,4431,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 19:10:54.352678,0:00:29.994139,,209.192.218.156,udp,,,no,1308,1014899,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 19:50:35.368456,0:00:29.994166,,103.105.23.65,tcp,,,no,1248,848640,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 19:53:21.336964,0:00:29.993242,,110.173.63.10,tcp,,,no,1200,816000,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 20:07:26.357178,0:26:03.005260,,182.16.125.0/24,tcp,,,no,8298,5642640,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 20:59:56.376058,0:04:47.978041,,180.101.160.21,udp,,,no,7314,7730192,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 21:02:22.366029,0:00:18.135268,,172.65.41.112,tcp,,,no,744,505920,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 21:08:30.369715,0:00:59.977252,,216.128.138.108,udp,,,no,2640,2790381,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 21:13:57.367990,0:00:59.136614,,101.42.51.50,udp,,,no,2124,2238378,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
DP Attack,2024-06-24 21:38:11.523174,0:01:00.805167,,162.245.207.18,udp,,,no,2526,2670253,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,152.89.244.142,33335
