attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end
DP Attack,2024-06-16 16:28:38.376827,1:05:18.340457,,192.168.122.1,dns,,,no,36,1728,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,103.82.193.149,12345,2024-06-16 16:28:19,2024-06-16 17:44:04
DP Attack,2024-06-16 18:06:42.354307,4:02:18.620943,,192.168.122.1,dns,,,no,108,5184,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,103.82.193.149,12345,2024-06-16 18:06:23,2024-06-16 22:15:59
DP Attack,2024-06-17 12:23:58.949920,2:17:22.801762,,192.168.122.0/24,dns,,,"no,yes",66,3140,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,103.82.193.149,12345,2024-06-17 12:23:45,2024-06-17 15:53:36
DP Attack,2024-06-18 09:55:22.487331,2:47:00.533513,,192.168.122.0/24,dns,,,"no,yes",78,3810,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,103.82.193.149,12345,2024-06-18 09:54:57,2024-06-18 12:52:50
DP Attack,2024-06-18 15:46:17.431413,2:17:21.964660,,192.168.122.1,dns,,,no,66,3168,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,103.82.193.149,12345,2024-06-18 15:45:48,2024-06-18 18:13:54
DP Attack,2024-06-19 10:13:14.706275,1:46:08.892010,,192.168.122.1,dns,,,no,54,2592,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,103.82.193.149,12345,2024-06-19 10:12:45,2024-06-19 12:14:59
DP Attack,2024-06-19 13:02:45.752785,2:06:49.131264,,192.168.122.0/24,"tcp,dns",,,"no,yes",42,1840,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,103.82.193.149,12345,2024-06-19 13:02:24,2024-06-19 15:09:37
DP Attack,2024-06-20 14:36:59.099361,1:32:04.708483,,192.168.122.1,dns,,,no,48,2304,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,103.82.193.149,12345,2024-06-20 14:36:38,2024-06-20 16:22:07
DP Attack,2024-06-21 09:33:13.503120,1:05:15.494891,,192.168.122.1,dns,,,no,36,1728,e9626f6bf01fc7430783fc05e76a8acae124bbadcc7fb7aa900c91e60fe76337,103.82.193.149,12345,2024-06-21 09:32:56,2024-06-21 10:48:43
