ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,duration
154.64.245.126,31901,yes,1,0,1,0,0,2024-06-22 17:44:56.846193,0:00:00
154.64.245.126,58640,yes,2,0,2,0,0,2024-06-22 17:44:56.849411,0:00:39.904731
154.64.245.126,5256,yes,1,0,1,0,0,2024-06-22 17:44:56.853055,0:00:00
154.64.245.126,14985,yes,1,0,1,0,0,2024-06-22 17:44:56.857508,0:00:00
154.64.245.126,19964,yes,1,0,1,0,0,2024-06-22 17:44:56.861351,0:00:00
154.64.245.126,36243,yes,1,0,1,0,0,2024-06-22 17:44:57.665745,0:00:00
154.64.245.126,5153,yes,1,0,1,0,0,2024-06-22 17:44:57.669169,0:00:00
154.64.245.126,16308,yes,1,0,1,0,0,2024-06-22 17:44:57.672333,0:00:00
154.64.245.126,56248,yes,1,0,1,0,0,2024-06-22 17:44:57.674473,0:00:00
154.64.245.126,48214,yes,2,0,2,0,0,2024-06-22 17:44:57.677354,0:00:25.160259
154.64.245.126,58552,yes,1,0,1,0,0,2024-06-22 17:44:57.680096,0:00:00
154.64.245.126,44638,yes,1,0,1,0,0,2024-06-22 17:44:57.682878,0:00:00
154.64.245.126,49852,yes,1,0,1,0,0,2024-06-22 17:44:57.685307,0:00:00
154.64.245.126,50980,yes,1,0,1,0,0,2024-06-22 17:44:57.687467,0:00:00
154.64.245.126,11880,yes,1,0,1,0,0,2024-06-22 17:44:57.689673,0:00:00
154.64.245.126,2757,yes,1,0,1,0,0,2024-06-22 17:44:57.692549,0:00:00
154.64.245.126,62434,yes,1,0,1,0,0,2024-06-22 17:44:57.695106,0:00:00
154.64.245.126,60920,yes,1,0,1,0,0,2024-06-22 17:44:57.697337,0:00:00
154.64.245.126,27341,yes,1,0,1,0,0,2024-06-22 17:44:57.699587,0:00:00
154.64.245.126,26169,yes,1,0,1,0,0,2024-06-22 17:44:57.701880,0:00:00
154.64.245.126,61025,yes,1,0,1,0,0,2024-06-22 17:44:57.703987,0:00:00
154.64.245.126,25847,yes,1,0,1,0,0,2024-06-22 17:44:57.706673,0:00:00
154.64.245.126,4172,yes,1,0,1,0,0,2024-06-22 17:44:57.709898,0:00:00
154.64.245.126,26709,yes,1,0,1,0,0,2024-06-22 17:44:57.712715,0:00:00
154.64.245.126,35792,yes,1,0,1,0,0,2024-06-22 17:44:57.715444,0:00:00
154.64.245.126,40201,yes,1,0,1,0,0,2024-06-22 17:44:57.718955,0:00:00
154.64.245.126,44951,yes,1,0,1,0,0,2024-06-22 17:44:57.721169,0:00:00
154.64.245.126,34830,yes,1,0,1,0,0,2024-06-22 17:44:57.724341,0:00:00
154.64.245.126,21667,yes,1,0,1,0,0,2024-06-22 17:44:57.728350,0:00:00
154.64.245.126,58885,yes,1,0,1,0,0,2024-06-22 17:44:57.730595,0:00:00
154.64.245.126,55044,yes,1,0,1,0,0,2024-06-22 17:44:57.733573,0:00:00
154.64.245.126,60219,yes,1,0,1,0,0,2024-06-22 17:44:57.736147,0:00:00
154.64.245.126,17812,yes,1,0,1,0,0,2024-06-22 17:44:57.738672,0:00:00
154.64.245.126,15999,yes,1,0,1,0,0,2024-06-22 17:44:57.741597,0:00:00
154.64.245.126,61517,yes,1,0,1,0,0,2024-06-22 17:44:57.745832,0:00:00
154.64.245.126,78,yes,1,0,1,0,0,2024-06-22 17:44:57.749659,0:00:00
154.64.245.126,45222,yes,1,0,1,0,0,2024-06-22 17:44:57.752446,0:00:00
154.64.245.126,55799,yes,1,0,1,0,0,2024-06-22 17:44:57.754751,0:00:00
154.64.245.126,17632,yes,1,0,1,0,0,2024-06-22 17:44:57.758524,0:00:00
154.64.245.126,63918,yes,1,0,1,0,0,2024-06-22 17:44:57.761181,0:00:00
154.64.245.126,34138,yes,1,0,1,0,0,2024-06-22 17:44:57.764603,0:00:00
154.64.245.126,47919,yes,1,0,1,0,0,2024-06-22 17:44:57.767169,0:00:00
154.64.245.126,2372,yes,1,0,1,0,0,2024-06-22 17:44:57.770672,0:00:00
154.64.245.126,10810,yes,1,0,1,0,0,2024-06-22 17:44:57.774225,0:00:00
154.64.245.126,34097,yes,1,0,1,0,0,2024-06-22 17:44:57.776645,0:00:00
154.64.245.126,15889,yes,1,0,1,0,0,2024-06-22 17:44:57.780033,0:00:00
