cnc_ip,cnc_ready,cnc_port,cnc_status,cnc_update_at
216.146.27.222,True,5220,alive,2024-06-30 23:06:19.613334
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:19.892756
216.146.27.222,True,5220,alive,2024-06-30 23:06:19.905208
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:20.086749
216.146.27.222,True,5220,alive,2024-06-30 23:06:20.102293
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:20.415349
216.146.27.222,True,5220,alive,2024-06-30 23:06:20.427183
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:20.706989
216.146.27.222,True,5220,alive,2024-06-30 23:06:20.715418
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:21.003392
216.146.27.222,True,5220,alive,2024-06-30 23:06:21.014701
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:21.306604
216.146.27.222,True,5220,alive,2024-06-30 23:06:21.321095
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:21.614300
216.146.27.222,True,5220,alive,2024-06-30 23:06:21.625820
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:21.915591
216.146.27.222,True,5220,alive,2024-06-30 23:06:21.924370
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:22.258698
216.146.27.222,True,5220,alive,2024-06-30 23:06:22.267902
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:22.553013
216.146.27.222,True,5220,alive,2024-06-30 23:06:22.561618
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:22.840116
216.146.27.222,True,5220,alive,2024-06-30 23:06:22.858749
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:23.135222
216.146.27.222,True,5220,alive,2024-06-30 23:06:23.149643
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:23.432515
216.146.27.222,True,5220,alive,2024-06-30 23:06:23.443871
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:23.728993
216.146.27.222,True,5220,alive,2024-06-30 23:06:23.738015
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:24.016067
216.146.27.222,True,5220,alive,2024-06-30 23:06:24.028421
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:24.313019
216.146.27.222,True,5220,alive,2024-06-30 23:06:24.332268
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:24.635318
216.146.27.222,True,5220,alive,2024-06-30 23:06:24.652436
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:24.976513
216.146.27.222,True,5220,alive,2024-06-30 23:06:24.987606
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:25.294888
216.146.27.222,True,5220,alive,2024-06-30 23:06:25.306983
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:25.621076
216.146.27.222,True,5220,alive,2024-06-30 23:06:25.634777
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:25.927557
216.146.27.222,True,5220,alive,2024-06-30 23:06:25.947510
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:26.217155
216.146.27.222,True,5220,alive,2024-06-30 23:06:26.229379
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:26.499802
216.146.27.222,True,5220,alive,2024-06-30 23:06:26.511303
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:26.783102
216.146.27.222,True,5220,alive,2024-06-30 23:06:26.791756
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:27.057818
216.146.27.222,True,5220,alive,2024-06-30 23:06:27.068960
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:27.441142
216.146.27.222,True,5220,alive,2024-06-30 23:06:27.456112
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:27.713452
216.146.27.222,True,5220,alive,2024-06-30 23:06:27.724473
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:28.013391
216.146.27.222,True,5220,alive,2024-06-30 23:06:28.022613
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:28.314540
216.146.27.222,True,5220,alive,2024-06-30 23:06:28.328241
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:28.599284
216.146.27.222,True,5220,alive,2024-06-30 23:06:28.609429
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:28.867532
216.146.27.222,True,5220,alive,2024-06-30 23:06:28.885125
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:29.153720
216.146.27.222,True,5220,alive,2024-06-30 23:06:29.165363
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:29.418661
216.146.27.222,True,5220,alive,2024-06-30 23:06:29.430226
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:29.695855
216.146.27.222,True,5220,alive,2024-06-30 23:06:29.704302
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:29.964363
216.146.27.222,True,5220,alive,2024-06-30 23:06:29.978378
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:30.247660
216.146.27.222,True,5220,alive,2024-06-30 23:06:30.256953
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:30.522401
216.146.27.222,True,5220,alive,2024-06-30 23:06:30.534528
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:30.804022
216.146.27.222,True,5220,alive,2024-06-30 23:06:30.813093
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:31.073160
216.146.27.222,True,5220,alive,2024-06-30 23:06:31.086074
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:31.355031
216.146.27.222,True,5220,alive,2024-06-30 23:06:31.364242
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:31.632879
216.146.27.222,True,5220,alive,2024-06-30 23:06:31.652394
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:31.919460
216.146.27.222,True,5220,alive,2024-06-30 23:06:31.928650
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:32.193767
216.146.27.222,True,5220,alive,2024-06-30 23:06:32.205232
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:32.478604
216.146.27.222,True,5220,alive,2024-06-30 23:06:32.487772
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:32.748734
216.146.27.222,True,5220,alive,2024-06-30 23:06:32.759801
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:33.033903
216.146.27.222,True,5220,alive,2024-06-30 23:06:33.048136
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:33.323483
216.146.27.222,True,5220,alive,2024-06-30 23:06:33.335254
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:33.608820
216.146.27.222,True,5220,alive,2024-06-30 23:06:33.618229
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:33.877866
216.146.27.222,True,5220,alive,2024-06-30 23:06:33.889091
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:34.162195
216.146.27.222,True,5220,alive,2024-06-30 23:06:34.171878
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:34.432379
216.146.27.222,True,5220,alive,2024-06-30 23:06:34.450147
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:34.718336
216.146.27.222,True,5220,alive,2024-06-30 23:06:34.730121
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:34.992141
216.146.27.222,True,5220,alive,2024-06-30 23:06:35.003933
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:35.282564
216.146.27.222,True,5220,alive,2024-06-30 23:06:35.291788
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:35.558563
216.146.27.222,True,5220,alive,2024-06-30 23:06:35.576976
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:35.851845
216.146.27.222,True,5220,alive,2024-06-30 23:06:35.867749
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:36.143112
216.146.27.222,True,5220,alive,2024-06-30 23:06:36.154637
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:36.426800
216.146.27.222,True,5220,alive,2024-06-30 23:06:36.435595
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:36.706848
216.146.27.222,True,5220,alive,2024-06-30 23:06:36.963841
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:37.507298
216.146.27.222,True,5220,alive,2024-06-30 23:06:37.516260
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:37.778036
216.146.27.222,True,5220,alive,2024-06-30 23:06:37.787039
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:38.042920
216.146.27.222,True,5220,alive,2024-06-30 23:06:38.054152
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:38.316869
216.146.27.222,True,5220,alive,2024-06-30 23:06:38.325432
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:38.592597
216.146.27.222,True,5220,alive,2024-06-30 23:06:38.610373
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:38.873678
216.146.27.222,True,5220,alive,2024-06-30 23:06:38.883595
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:39.149334
216.146.27.222,True,5220,alive,2024-06-30 23:06:39.160708
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:39.434368
216.146.27.222,True,5220,alive,2024-06-30 23:06:39.443299
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:39.708276
216.146.27.222,True,5220,alive,2024-06-30 23:06:39.720053
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:40.004234
216.146.27.222,True,5220,alive,2024-06-30 23:06:40.013176
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:40.293473
216.146.27.222,True,5220,alive,2024-06-30 23:06:40.308676
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:40.578932
216.146.27.222,True,5220,alive,2024-06-30 23:06:40.590703
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:40.865741
216.146.27.222,True,5220,alive,2024-06-30 23:06:40.877437
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:41.146875
216.146.27.222,True,5220,alive,2024-06-30 23:06:41.155655
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:41.425894
216.146.27.222,True,5220,alive,2024-06-30 23:06:41.437949
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:41.713851
216.146.27.222,True,5220,alive,2024-06-30 23:06:41.728747
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:42.006109
216.146.27.222,True,5220,alive,2024-06-30 23:06:42.016185
216.146.27.222,True,5220,disconnected,2024-06-30 23:06:42.294951
216.146.27.222,True,5220,alive,2024-06-30 23:06:42.303698
