attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end
Scanning,2024-06-17 12:23:29.597199,0:16:53.234322,192.168.122.97,,tcp,,"37215,80",no,96462,0,6e00e8d4b05f763ea83679c9ba7d116beaa34a6db1ded45a77dc733d4d169ca1,217.32.184.17,23,2024-06-17 12:23:16,2024-06-17 15:53:37
Scanning,2024-06-18 09:55:05.420480,0:14:32.131195,192.168.122.46,,tcp,,"37215,80",no,98904,0,6e00e8d4b05f763ea83679c9ba7d116beaa34a6db1ded45a77dc733d4d169ca1,217.32.184.17,23,2024-06-18 09:54:52,2024-06-18 12:53:19
Scanning,2024-06-18 15:31:59.640460,0:10:04.953824,192.168.122.65,,tcp,,"37215,80",no,71934,0,6e00e8d4b05f763ea83679c9ba7d116beaa34a6db1ded45a77dc733d4d169ca1,217.32.184.17,23,2024-06-18 15:31:39,2024-06-18 15:42:05
Scanning,2024-06-18 15:45:50.602027,0:15:50.921063,192.168.122.184,,tcp,,"37215,80",no,97308,0,6e00e8d4b05f763ea83679c9ba7d116beaa34a6db1ded45a77dc733d4d169ca1,217.32.184.17,23,2024-06-18 15:45:31,2024-06-18 18:13:59
Scanning,2024-06-19 10:12:50.064178,0:15:28.706084,192.168.122.135,,tcp,,"37215,80",no,100062,0,6e00e8d4b05f763ea83679c9ba7d116beaa34a6db1ded45a77dc733d4d169ca1,217.32.184.17,23,2024-06-19 10:12:33,2024-06-19 12:15:05
Scanning,2024-06-20 10:38:37.076776,0:16:22.970136,192.168.122.235,,tcp,,"37215,80",no,97248,0,6e00e8d4b05f763ea83679c9ba7d116beaa34a6db1ded45a77dc733d4d169ca1,217.32.184.17,23,2024-06-20 10:38:15,2024-06-20 11:51:44
Scanning,2024-06-21 09:32:48.696465,0:21:13.686033,192.168.122.65,,tcp,,"37215,80",no,95304,0,6e00e8d4b05f763ea83679c9ba7d116beaa34a6db1ded45a77dc733d4d169ca1,217.32.184.17,23,2024-06-21 09:32:31,2024-06-21 10:42:08
