attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-21 14:41:29.392362,1:31:50.889161,,116.203.104.203,dns,,,no,78,3471,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-21 14:46:24.278067,1:18:31.997236,,130.61.64.122,dns,,,no,30,1309,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-21 14:44:48.276122,1:14:08.006240,,161.97.219.84,dns,,,no,30,1338,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-21 14:40:04.366695,1:28:51.926258,,192.3.165.37,dns,,,no,30,1267,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-21 14:43:58.432225,1:31:45.852710,,162.243.19.47,dns,,,no,36,1616,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-21 14:49:12.270897,1:12:31.996881,,185.84.81.194,dns,,,no,30,1345,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
DP Attack,2024-06-21 14:45:04.281554,1:24:08.006417,,54.36.111.116,dns,,,no,36,1597,c087ad31ad5f4454500c43fda6952839fbc640afe1acf49c90a2413102d8fb07,142.250.74.228,443
