ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
80.91.223.3,6767,no,687,0,576,0,111,2024-06-17 11:55:30.781080,2024-06-17 12:21:52.332508,2024-06-17 11:55:14,2024-06-17 12:21:53,0 days 00:00:16.781080,0 days 00:26:21.551428
80.91.223.3,6767,no,5671,0,4563,0,1108,2024-06-17 12:23:49.623344,2024-06-17 15:53:24.809373,2024-06-17 12:23:30,2024-06-17 15:53:26,0 days 00:00:19.623344,0 days 03:29:35.186029
80.91.223.3,6767,no,4748,0,3805,0,943,2024-06-18 09:55:26.550963,2024-06-18 12:52:46.868256,2024-06-18 09:55:03,2024-06-18 12:52:47,0 days 00:00:23.550963,0 days 02:57:20.317293
80.91.223.3,6767,no,231,0,211,0,20,2024-06-18 15:32:20.466543,2024-06-18 15:41:56.144005,2024-06-18 15:32:07,2024-06-18 15:41:59,0 days 00:00:13.466543,0 days 00:09:35.677462
80.91.223.3,6767,no,3861,0,2967,0,894,2024-06-18 15:46:10.395810,2024-06-18 18:13:54.411893,2024-06-18 15:46:04,2024-06-18 18:13:55,0 days 00:00:06.395810,0 days 02:27:44.016083
80.91.223.3,6767,no,3276,0,2648,0,628,2024-06-19 10:13:20.654146,2024-06-19 12:14:54.966494,2024-06-19 10:13:11,2024-06-19 12:14:56,0 days 00:00:09.654146,0 days 02:01:34.312348
80.91.223.3,6767,no,1729,0,1407,0,322,2024-06-20 10:39:11.861290,2024-06-20 11:51:45.312566,2024-06-20 10:38:59,2024-06-20 11:51:46,0 days 00:00:12.861290,0 days 01:12:33.451276
80.91.223.3,6767,no,2008,0,1626,0,382,2024-06-20 14:36:54.143726,2024-06-20 16:21:53.612047,2024-06-20 14:36:38,2024-06-20 16:21:56,0 days 00:00:16.143726,0 days 01:44:59.468321
80.91.223.3,6767,no,1307,0,1071,0,236,2024-06-21 09:33:36.275239,2024-06-21 10:22:38.740579,2024-06-21 09:33:15,2024-06-21 10:22:37,0 days 00:00:21.275239,0 days 00:49:02.465340
