attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end
DP Attack,2024-06-17 12:23:52.750929,3:16:54.423420,,192.168.122.0/24,dns,,,"yes,no",90,4292,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767,2024-06-17 12:23:30,2024-06-17 15:53:26
DP Attack,2024-06-18 09:55:25.597626,2:54:10.017716,,192.168.122.0/24,dns,,,"yes,no",54,2658,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767,2024-06-18 09:55:03,2024-06-18 12:52:47
DP Attack,2024-06-18 15:46:13.521889,2:17:22.384591,,192.168.122.1,dns,,,no,66,3168,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767,2024-06-18 15:46:04,2024-06-18 18:13:55
DP Attack,2024-06-19 10:13:21.796381,1:50:37.769382,,192.168.122.1,dns,,,no,54,2592,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767,2024-06-19 10:13:11,2024-06-19 12:14:56
DP Attack,2024-06-20 10:39:10.054462,1:08:09.755651,,192.168.122.1,dns,,,no,36,1728,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767,2024-06-20 10:38:59,2024-06-20 11:51:46
DP Attack,2024-06-20 14:36:53.173224,1:32:04.441862,,192.168.122.1,dns,,,no,42,2016,87cb7390d0c0b5406898a0896752ccab8a41f187807bc85ae6e444e4a3627a28,80.91.223.3,6767,2024-06-20 14:36:38,2024-06-20 16:21:56
