attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port,measure_start,measure_end
DP Attack,2024-06-19 10:13:18.714696,2:01:41.914773,,192.168.122.0/24,"tcp,dns",,,"yes,no",60,2745,12d7da7f77aab771ffff6dd614209815565ee9f292e8b97854fa4af67b9ac291,146.185.209.82,47925,2024-06-19 10:12:50,2024-06-19 12:15:00
DP Attack,2024-06-19 13:02:48.752628,2:06:47.441509,,192.168.122.0/24,"tcp,dns",,,"yes,no",72,3061,12d7da7f77aab771ffff6dd614209815565ee9f292e8b97854fa4af67b9ac291,146.185.209.82,47925,2024-06-19 13:02:24,2024-06-19 15:09:37
DP Attack,2024-06-20 10:39:04.935402,1:05:37.123904,,192.168.122.1,dns,,,no,36,1728,12d7da7f77aab771ffff6dd614209815565ee9f292e8b97854fa4af67b9ac291,146.185.209.82,47925,2024-06-20 10:38:46,2024-06-20 11:51:52
DP Attack,2024-06-20 14:37:04.195415,1:34:26.771152,,192.168.122.1,dns,,,no,48,2304,12d7da7f77aab771ffff6dd614209815565ee9f292e8b97854fa4af67b9ac291,146.185.209.82,47925,2024-06-20 14:36:38,2024-06-20 16:22:00
DP Attack,2024-06-21 09:33:17.678665,1:05:24.637285,,192.168.122.1,dns,,,no,36,1728,12d7da7f77aab771ffff6dd614209815565ee9f292e8b97854fa4af67b9ac291,146.185.209.82,47925,2024-06-21 09:32:56,2024-06-21 10:49:48
