ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
146.185.209.82,47925,no,2216,0,1140,0,1076,2024-06-19 10:13:20.745480,2024-06-19 12:14:57.028773,2024-06-19 10:12:50,2024-06-19 12:15:00,0 days 00:00:30.745480,0 days 02:01:36.283293
146.185.209.82,47925,no,2183,0,1097,0,1086,2024-06-19 13:02:49.806194,2024-06-19 15:09:35.948403,2024-06-19 13:02:24,2024-06-19 15:09:37,0 days 00:00:25.806194,0 days 02:06:46.142209
146.185.209.82,47925,no,1279,0,678,0,601,2024-06-20 10:39:06.008966,2024-06-20 11:51:47.202730,2024-06-20 10:38:46,2024-06-20 11:51:52,0 days 00:00:20.008966,0 days 01:12:41.193764
146.185.209.82,47925,no,1516,0,796,0,720,2024-06-20 14:37:06.013490,2024-06-20 16:21:56.271974,2024-06-20 14:36:38,2024-06-20 16:22:00,0 days 00:00:28.013490,0 days 01:44:50.258484
146.185.209.82,47925,no,1365,0,717,0,648,2024-06-21 09:33:21.228955,2024-06-21 10:49:42.571550,2024-06-21 09:32:56,2024-06-21 10:49:48,0 days 00:00:25.228955,0 days 01:16:21.342595
