ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time
157.221.55.20,37215,no,2,0,2,0,0,2024-06-20 10:03:14.846941,2024-06-20 10:03:14.846967
41.56.127.216,37215,yes,2,0,2,0,0,2024-06-20 10:05:12.266514,2024-06-20 10:05:12.266585
157.150.60.136,37215,yes,1,0,1,0,0,2024-06-20 10:05:12.266704,2024-06-20 10:05:12.266704
197.68.28.245,37215,yes,2,0,2,0,0,2024-06-20 10:05:12.266785,2024-06-20 10:05:12.266856
