attack_type,start_time,duration,src,target,protocol,src_port,dst_port,spoofed,packet_cnt,total_bytes,bot_id,cnc_ip,cnc_port
DP Attack,2024-06-17 14:02:36.555025,0:07:16.000404,,135.148.25.152,"udp,tcp",,,no,2718,286628,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:02:25.541782,0:00:59.988264,,212.78.83.160,udp,,,no,3870,36716,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:10:05.681055,0:00:05.986346,,108.61.208.74,udp,,,no,378,289730,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:11:43.569065,0:00:59.996162,,45.77.90.28,udp,,,no,2820,2185474,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:19:48.552972,0:01:00.012961,,104.207.131.197,udp,,,no,2976,2307653,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:23:19.537291,0:00:58.202550,,54.67.94.27,udp,,,no,3090,3261145,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:28:41.558837,0:03:44.972290,,104.128.51.117,udp,,,no,2808,65023,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:35:53.528781,0:00:27.966071,,62.138.7.219,udp,,,no,1530,1612322,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:43:39.548456,0:00:09.978889,,31.204.134.17,udp,,,no,462,4373,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:46:37.538855,0:00:14.990522,,8.244.64.25,udp,,,no,936,21721,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:48:58.534794,0:00:52.209991,,8.42.17.190,"udp,tcp",,,no,1278,468608,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:50:49.542191,0:00:19.992759,,110.173.224.245,udp,,,no,894,691391,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:59:07.542978,0:00:14.984974,,103.42.108.26,udp,,,no,726,16848,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 13:59:26.661590,0:13:30.883022,,135.148.165.75,udp,,,no,2454,25983,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 15:37:49.561809,0:00:09.985462,,135.148.25.152,udp,,,no,450,4500,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 14:17:19.569983,0:00:09.978367,,217.69.5.222,udp,,,no,570,5397,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 14:38:35.544128,0:00:09.998578,,194.45.197.54,udp,,,no,744,8184,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 14:44:38.691467,0:03:07.845604,,108.61.133.182,udp,,,no,5100,3959507,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 15:06:52.528702,0:00:19.998322,,218.100.53.101,udp,,,no,996,82421,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 15:37:42.526379,0:00:20.000701,,133.242.202.21,udp,,,no,942,8940,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 15:38:41.528044,0:00:20.002785,,153.121.54.23,udp,,,no,1248,11859,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 15:47:40.510454,0:00:19.240926,,52.198.153.39,udp,,,no,1230,11686,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
DP Attack,2024-06-17 15:51:42.689218,0:00:19.984709,,163.43.179.80,udp,,,no,1074,24873,114187eba041719065c8ebd1f441b959077f28ff6fcf46a15d0d1f660514e74e,94.156.10.24,33335
